Sr No.,Quality,Item,Color/Range,Size,Op. Stock,Total IN/Pur.,Total OUT/Sale,Net Stock
1,NA,103 [2],Satin,160,-1,0,0,-1
2,NA,1239 [1],CP Wengi,160mm,0,0,0,0
3,NA,1239 [1],CP Wengi,96mm,-190,0,0,-190
4,NA,Cross [1],Blue,96mm,0,0,0,0
5,NA,Cross [1],Blue,160mm,0,0,0,0
6,NA,Cross [1],Satin,160mm,0,0,0,0
7,NA,Cross [1],Satin,96mm,0,0,0,0
8,NA,KH- 1239 [1],CP Wengi,224mm,-62,0,0,-62
9,NA,KH-101 [1],All Finish,All Size,-8,0,0,-8
10,NA,KH-101 [101],Rose Gold,160mm,24,43,5,38
11,NA,KH-101 [101],Antique,224mm,0,20,10,10
12,NA,KH-101 [101],Antique,128mm,0,48,1,47
13,NA,KH-101 [101],Satin,160mm,0,45,2,43
14,NA,KH-101 [101],B. Satin,96mm,0,89,9,80
15,NA,KH-101 [101],Antique,96mm,0,98,18,80
16,NA,KH-101 [101],Satin,96mm,0,84,62,22
17,NA,KH-102 [102],Satin,224mm,0,60,4,56
18,NA,Kadi-14 [1],Black,-,0,200,22,178
19,NA,Kadi-14 [1],PVD-GOLD,-,0,195,3,192
20,NA,Kadi-15 [1],Antique-Gold,-,0,200,0,200
21,NA,Kadi-15 [1],Black,-,0,199,0,199
22,NA,Kadi-15 [1],PVD-ROSE GOLD,-,0,200,0,200
23,NA,Kadi-16 [1],PVD-ROSE GOLD,-,0,196,7,189
24,NA,Kadi-16 [1],Black,-,0,200,0,200
25,NA,Kadi-17 [1],Black,-,0,193,15,178
26,NA,Kadi-17 [1],PVD-GOLD,-,0,200,12,188
27,NA,KH-103 [1],Rose Gold,224mm,0,24,20,4
28,NA,KH-103 [1],Rose Gold,96mm,0,181,170,11
29,NA,KH-103 [1],Satin,96mm,0,199,189,10
30,NA,KH-103 [103],Gray,96mm,0,255,221,34
31,NA,KH-103 [2],Gray,288mm,0,37,12,25
32,NA,KH-103 [2],Gray,160mm,0,213,208,5
33,NA,KH-103 [2],Gray,224mm,0,114,87,27
34,NA,KH-103 [2],Satin,288mm,0,26,19,7
35,NA,KH-103 [2],Satin,160mm,0,113,99,14
36,NA,KH-103 [2],Satin,224mm,0,25,25,0
37,NA,KH-104 [1],Satin,160mm,0,102,12,90
38,NA,KH-104 [1],Satin,224mm,0,34,22,12
39,NA,KH-104 [1],Satin,288mm,0,24,21,3
40,NA,KH-104 [1],Satin,96mm,0,151,153,-2
41,NA,KH-104 [1],Rose Gold,96mm,0,140,115,25
42,NA,KH-104 [1],Gray,96mm,0,173,121,52
43,NA,KH-104 [2],Rose Gold,160mm,0,52,19,33
44,NA,KH-104 [2],Gray,160mm,0,101,50,51
45,NA,KH-104 [3],Rose Gold,288mm,0,36,12,24
46,NA,KH-104 [3],Rose Gold,224mm,0,41,16,25
47,NA,KH-104 [3],Gray,288mm,0,17,3,14
48,NA,KH-104 [3],Gray,224mm,0,20,12,8
49,NA,KH-105 [1],Antique,96mm,0,160,50,110
50,NA,KH-105 [1],Antique,160mm,0,98,22,76
51,NA,KH-105 [1],Antique,224mm,0,21,9,12
52,NA,KH-105 [1],Antique,288mm,0,12,0,12
53,NA,KH-105 [1],Satin,288mm,0,10,0,10
54,NA,KH-105 [1],Satin,96mm,0,153,32,121
55,NA,KH-105 [1],Satin,160mm,0,101,12,89
56,NA,KH-105 [1],Satin,224mm,0,18,0,18
57,NA,KH-105 [1],CP,224mm,0,23,0,23
58,NA,KH-105 [1],CP,288mm,0,28,7,21
59,NA,KH-105 [1],CP,160mm,0,112,0,112
60,NA,KH-105 [1],CP,96mm,0,161,68,93
61,NA,KH-106 [1],Antique,160mm,0,110,21,89
62,NA,KH-106 [1],Antique,224mm,0,25,4,21
63,NA,KH-106 [1],Antique,288mm,0,19,0,19
64,NA,KH-106 [1],Rose Gold,160mm,0,63,19,44
65,NA,KH-106 [1],Rose Gold,224mm,0,35,3,32
66,NA,KH-106 [1],Rose Gold,288mm,0,7,0,7
