Sr No.,Quality,Item,Color/Range,Size,Op. Stock,Total IN/Pur.,Total OUT/Sale,Net Stock
1,NA,All Finish [1],All Finish,-,-130,0,7,-137
2,NA,KH - 31 [1],Purple,-,300,0,0,300
3,NA,KH - 31 [1],Gold,-,300,0,8,292
4,NA,KH - 31 [1],Black,-,350,0,0,350
5,NA,KH - 31 [1],Rose Gold,-,350,0,0,350
6,NA,KH - 32 [1],Purple,-,271,0,0,271
7,NA,KH - 32 [1],Rose Gold,-,198,0,0,198
8,NA,KH - 32 [1],Gold,-,200,0,11,189
9,NA,KH - 32 [1],Black,-,120,0,39,81
10,NA,Knob - 18 [1],Rose Gold,-,139,0,9,130
11,NA,Knob - 18 [1],Gold,-,109,2,16,95
12,NA,Knob - 20 [1],Rose Gold,-,164,0,7,157
13,NA,Knob - 20 [1],Black,-,221,0,1,220
14,NA,Knob - 20 [1],Gold,-,135,0,21,114
15,NA,knob - 23 [1],Rose Gold,-,110,0,12,98
16,NA,Knob - 23 [1],Gold,-,138,0,38,100
17,NA,Knob - 23 [1],Black,-,97,99,23,173
18,NA,Knob - 24 [1],Rose Gold,-,161,0,14,147
19,NA,knob - 24 [1],Gold,-,337,0,16,321
20,NA,Knob - 24 [1],Black,-,-94,0,6,-100
21,NA,Knob-02 [1],Black,-,103,0,75,28
22,,,,,,,,
23,,,,,,,,
24,,,,,,,,
25,,,,,,,,
26,,,,,,,,
27,,,,,,,,
28,,,,,,,,
29,,,,,,,,
30,NA,KH-502 [1],CP,160mm,207,7,20,194
31,NA,KH-502 [1],CP,128mm,168,11,30,149
32,NA,KH-502 [1],CP,96mm,279,0,35,244
33,NA,KH-503 [1],Satin,224mm,-10,44,0,34
34,NA,KH-503 [1],Satin,160mm,0,186,0,186
35,NA,KH-503 [1],Matt,128mm,165,-165,0,0
36,NA,KH-503 [1],Matt,160mm,172,-172,0,0
37,NA,KH-503 [1],All Finish,All Size,-5,0,1,-6
38,NA,KH-503 [1],Satin,96mm,-21,320,73,226
39,NA,KH-503 [1],Satin,128mm,0,165,0,165
40,NA,KH-503 [1],Matt,224mm,45,-45,0,0
41,NA,KH-503 [1],CP,224mm,22,0,0,22
42,NA,KH-503 [1],Matt,96mm,314,-314,0,0
43,NA,KH-503 [1],CP,160mm,120,0,25,95
44,NA,KH-503 [1],CP,128mm,181,0,68,113
45,NA,KH-503 [1],CP,96mm,267,0,150,117
46,NA,KH-504 [1],Satin,96mm,0,289,0,289
47,NA,KH-504 [1],Satin,128mm,0,54,0,54
48,NA,KH-504 [1],Satin,160mm,0,90,0,90
49,NA,KH-504 [1],Satin,224mm,0,62,0,62
50,NA,KH-504 [1],Matt,128mm,44,-44,0,0
51,NA,KH-504 [1],Matt,160mm,91,-91,0,0
52,NA,KH-504 [1],Matt,224mm,62,-62,0,0
53,NA,KH-504 [1],CP,224mm,49,0,0,49
54,NA,KH-504 [1],Matt,96mm,290,-290,0,0
55,NA,KH-504 [1],CP,128mm,61,0,0,61
56,NA,KH-504 [1],CP,96mm,86,0,0,86
57,NA,KH-504 [41],CP,160mm,81,0,0,81
58,NA,KH-505 [1],CP,160mm,200,0,0,200
59,NA,KH-505 [1],CP,224mm,0,0,0,0
60,NA,KH-505 [1],CP,128mm,199,0,0,199
61,NA,KH-505 [1],CP,96mm,135,0,0,135
62,NA,KH-506 [1],Satin,96mm,1,80,0,81
63,NA,KH-506 [1],Satin,160mm,0,15,0,15
64,NA,KH-506 [1],Satin,224mm,0,93,0,93
65,NA,KH-506 [1],Satin,128mm,0,63,0,63
66,NA,KH-506 [1],Matt,128mm,62,,,
67,,,,,,,,
68,,,,,,,,
69,,,,,,,,
70,,,,,,,,
71,,,,,,,,
72,,,,,,,,
73,,,,,,,,
74,,KH-617 [1],CP,"4""",-142,0,11,-153
75,NA,KH-617 [1],CP,"3""",-30,0,0,-30
76,NA,KH-618 [618],CPTT,"6""",-10,0,0,-10
77,NA,KH-618 [618],CPTT,"4""",-51,0,0,-51
78,NA,KH-619 [1],CP,"6""",-36,0,0,-36
79,NA,KH-619 [1],CP,"4""",-103,0,18,-121
80,NA,KH-619 [1],CP,"3""",-144,0,0,-144
81,NA,KH-621 [1],CP,"6""",-12,0,0,-12
82,NA,KH-621 [1],CP,"4""",-769,0,0,-769
83,NA,KH-621 [1],CP,"3""",-56,0,0,-56
84,NA,KH-622 [1],Gold,"3""",-44,0,0,-44
85,NA,KH-622 [1],Gold,"4""",-210,0,0,-210
86,NA,KH-622 [1],Gold,"6""",-20,0,0,-20
87,NA,KH-622 [1],Rose Gold,"3""",-36,0,8,-44
88,NA,KH-622 [1],Black,4,-365,2,24,-387
89,NA,KH-622 [1],Rose Gold,4',-145,0,0,-145
90,NA,KH-622 [2],Rose Gold,"6""",-20,0,12,-32
91,NA,KH-622 [2],Rose Gold,"4""",-86,0,0,-86
92,NA,KH-622 [2],Black,"3""",-23,,,
